 x time
467 -0.3788 4.383591222
468 -0.37799 4.393021528
469 -0.37717 4.402334953
470 -0.37636 4.411700717
471 -0.37554 4.421085868
472 -0.37472 4.430449538
473 -0.37391 4.439816214
474 -0.37309 4.44919366
475 -0.37227 4.458590513
476 -0.37144 4.46802161
477 -0.37062 4.477336087
478 -0.3698 4.486699357
479 -0.36897 4.496085089
480 -0.36815 4.505452094
481 -0.36732 4.514817438
482 -0.36649 4.524195927
483 -0.36566 4.533561941
484 -0.36483 4.543022855
485 -0.364 4.552310541
486 -0.36317 4.561707894
487 -0.36234 4.571087405
488 -0.3615 4.580450964
489 -0.36067 4.589831456
490 -0.35983 4.599206567
491 -0.359 4.608593752
492 -0.35816 4.618022364
493 -0.35732 4.627331211
494 -0.35648 4.636698488
495 -0.35563 4.646076304
496 -0.35479 4.655449352
497 -0.35395 4.664812872
498 -0.3531 4.674190939
499 -0.35226 4.683588884
500 -0.35141 4.693025933
501 -0.35056 4.702333657
502 -0.34971 4.711699261
503 -0.34886 4.721078651
504 -0.34801 4.730442832
505 -0.34715 4.739840756
506 -0.3463 4.749185631
507 -0.34544 4.758590779
508 -0.34459 4.768027397
509 -0.34373 4.777334841
510 -0.34287 4.786699072
511 -0.34201 4.796075657
512 -0.34115 4.805443965
513 -0.34029 4.814841539
514 -0.33942 4.824193768
515 -0.33856 4.833591512
516 -0.33769 4.843027338
517 -0.33683 4.852332978
518 -0.33596 4.861699253
519 -0.33509 4.871078182
520 -0.33422 4.880444236
521 -0.33335 4.889809128
522 -0.33247 4.899194138
523 -0.3316 4.90859034
524 -0.33073 4.918026256
525 -0.32985 4.92733377
526 -0.32897 4.936700936
527 -0.32809 4.946079364
528 -0.32721 4.955444577
529 -0.32633 4.964817995
530 -0.32545 4.974219255
531 -0.32457 4.983578297
532 -0.32368 4.99302834
533 -0.32279 5.002324342
534 -0.32191 5.011694143
535 -0.32102 5.021075466
536 -0.32013 5.030439347
537 -0.31924 5.039846238
538 -0.31835 5.049190171
539 -0.31745 5.058589108
540 -0.31656 5.068030985
541 -0.31566 5.077332508
542 -0.31477 5.086696919
543 -0.31387 5.09608205
544 -0.31297 5.105448284
545 -0.31207 5.114812666
546 -0.31116 5.124198387
547 -0.31026 5.133564131
548 -0.30936 5.143031707
549 -0.30845 5.15233883
550 -0.30754 5.161704725
551 -0.30663 5.171083703
552 -0.30572 5.180448816
553 -0.30481 5.189812907
554 -0.3039 5.199197847
555 -0.30299 5.208563951
556 -0.30207 5.218032129
557 -0.30116 5.227307933
558 -0.30024 5.23671268
559 -0.29932 5.246089886
560 -0.2984 5.255473493
561 -0.29748 5.264821243
562 -0.29656 5.274204941
563 -0.29563 5.283569904
564 -0.29471 5.292932301
565 -0.29378 5.302306902
566 -0.29285 5.31170652
567 -0.29192 5.321089707
