x y z time
-0.738171 -4.85518 0.00174326 2.65199
-0.737710 -4.85205 0.00174353 2.65299
-0.737248 -4.84892 0.00174380 2.65399
-0.736787 -4.84578 0.00174407 2.65499
-0.736325 -4.84265 0.00174434 2.65599
-0.735862 -4.83952 0.00174462 2.65699
-0.735400 -4.83639 0.00174490 2.65799
-0.734937 -4.83326 0.00174518 2.65899
-0.734473 -4.83012 0.00174547 2.65999
-0.734010 -4.82699 0.00174576 2.66099
-0.733546 -4.82386 0.00174605 2.66199
-0.733081 -4.82072 0.00174634 2.66299
-0.732616 -4.81759 0.00174664 2.66399
-0.732151 -4.81446 0.00174694 2.66499
-0.731686 -4.81132 0.00174724 2.66599
-0.731220 -4.80819 0.00174755 2.66699
-0.730754 -4.80505 0.00174785 2.66799
-0.730288 -4.80192 0.00174816 2.66899
-0.729821 -4.79878 0.00174848 2.66999
-0.729354 -4.79565 0.00174879 2.67099
-0.728886 -4.79251 0.00174911 2.67199
-0.728419 -4.78937 0.00174943 2.67299
-0.727951 -4.78624 0.00174975 2.67399
-0.727482 -4.78310 0.00175008 2.67499
-0.727013 -4.77996 0.00175041 2.67599
-0.726544 -4.77683 0.00175074 2.67699
-0.726074 -4.77369 0.00175108 2.67799
-0.725605 -4.77055 0.00175141 2.67899
-0.725134 -4.76741 0.00175175 2.67999
-0.724664 -4.76428 0.00175209 2.68099
-0.724193 -4.76114 0.00175244 2.68199
-0.723722 -4.75800 0.00175278 2.68299
-0.723250 -4.75486 0.00175313 2.68399
-0.722778 -4.75172 0.00175349 2.68499
-0.722306 -4.74858 0.00175384 2.68599
-0.721833 -4.74544 0.00175420 2.68699
-0.721360 -4.74230 0.00175456 2.68799
-0.720886 -4.73916 0.00175492 2.68899
-0.720413 -4.73602 0.00175529 2.68999
-0.719939 -4.73288 0.00175565 2.69099
-0.719464 -4.72974 0.00175602 2.69199
-0.718989 -4.72659 0.00175640 2.69299
-0.718514 -4.72345 0.00175677 2.69399
-0.718039 -4.72031 0.00175715 2.69499
-0.717563 -4.71717 0.00175753 2.69599
-0.717087 -4.71403 0.00175791 2.69699
-0.716610 -4.71088 0.00175829 2.69799
-0.716133 -4.70774 0.00175868 2.69899
-0.715656 -4.70460 0.00175907 2.69999
-0.715178 -4.70145 0.00175946 2.70099
-0.714700 -4.69831 0.00175986 2.70199
-0.714222 -4.69516 0.00176026 2.70299
-0.713743 -4.69202 0.00176065 2.70399
-0.713264 -4.68887 0.00176106 2.70499
-0.712784 -4.68573 0.00176146 2.70599
-0.712304 -4.68258 0.00176187 2.70699
-0.711824 -4.67944 0.00176228 2.70799
-0.711344 -4.67629 0.00176269 2.70899
-0.710863 -4.67315 0.00176310 2.70999
-0.710382 -4.67000 0.00176352 2.71099
-0.709900 -4.66685 0.00176394 2.71199
-0.709418 -4.66370 0.00176436 2.71299
-0.708935 -4.66056 0.00176478 2.71399
-0.708453 -4.65741 0.00176521 2.71499
-0.707970 -4.65426 0.00176564 2.71599
-0.707486 -4.65111 0.00176607 2.71699
-0.707002 -4.64797 0.00176650 2.71799
-0.706518 -4.64482 0.00176693 2.71899
-0.706033 -4.64167 0.00176737 2.71999
-0.705548 -4.63852 0.00176781 2.72099
-0.705063 -4.63537 0.00176825 2.72199
-0.704577 -4.63222 0.00176870 2.72299
-0.704091 -4.62907 0.00176915 2.72398
-0.703605 -4.62592 0.00176959 2.72498
-0.703118 -4.62277 0.00177005 2.72598
-0.702631 -4.61962 0.00177050 2.72698
-0.702143 -4.61647 0.00177096 2.72798
-0.701655 -4.61332 0.00177141 2.72898
-0.701167 -4.61016 0.00177187 2.72998
-0.700678 -4.60701 0.00177234 2.73098
-0.700189 -4.60386 0.00177280 2.73198
-0.699700 -4.60071 0.00177327 2.73298
-0.699210 -4.59755 0.00177374 2.73398
-0.698720 -4.59440 0.00177421 2.73498
-0.698229 -4.59125 0.00177468 2.73598
-0.697738 -4.58809 0.00177516 2.73698
-0.697247 -4.58494 0.00177564 2.73798
-0.696755 -4.58179 0.00177612 2.73898
-0.696263 -4.57863 0.00177660 2.73998
-0.695771 -4.57548 0.00177709 2.74098
-0.695278 -4.57232 0.00177757 2.74198
-0.694785 -4.56917 0.00177806 2.74298
-0.694291 -4.56601 0.00177855 2.74398
-0.693797 -4.56286 0.00177905 2.74498
-0.693303 -4.55970 0.00177954 2.74598
-0.692808 -4.55654 0.00178004 2.74698
-0.692313 -4.55339 0.00178054 2.74798
-0.691817 -4.55023 0.00178105 2.74898
-0.691321 -4.54707 0.00178155 2.74998
-0.690825 -4.54391 0.00178206 2.75098
-0.690328 -4.54076 0.00178257 2.75198
-0.689831 -4.53760 0.00178308 2.75298
-0.689334 -4.53444 0.00178359 2.75398
-0.688836 -4.53128 0.00178410 2.75498
-0.688338 -4.52812 0.00178462 2.75598
-0.687839 -4.52496 0.00178514 2.75698
-0.687340 -4.52180 0.00178566 2.75798
-0.686840 -4.51864 0.00178619 2.75898
-0.686341 -4.51548 0.00178671 2.75998
-0.685840 -4.51232 0.00178724 2.76098
-0.685340 -4.50916 0.00178777 2.76198
-0.684839 -4.50600 0.00178830 2.76298
-0.684337 -4.50284 0.00178884 2.76398
-0.683835 -4.49968 0.00178937 2.76498
-0.683333 -4.49652 0.00178991 2.76598
-0.682831 -4.49336 0.00179045 2.76698
-0.682328 -4.49020 0.00179099 2.76798
-0.681824 -4.48703 0.00179154 2.76898
-0.681320 -4.48387 0.00179208 2.76998
-0.680816 -4.48071 0.00179263 2.77098
-0.680312 -4.47755 0.00179318 2.77198
-0.679807 -4.47438 0.00179374 2.77298
-0.679301 -4.47122 0.00179429 2.77398
-0.678795 -4.46805 0.00179485 2.77498
-0.678289 -4.46489 0.00179541 2.77598
-0.677783 -4.46173 0.00179597 2.77698
-0.677276 -4.45856 0.00179653 2.77798
-0.676768 -4.45540 0.00179710 2.77898
-0.676260 -4.45223 0.00179766 2.77998
-0.675752 -4.44906 0.00179823 2.78098
-0.675243 -4.44590 0.00179880 2.78198
-0.674734 -4.44273 0.00179937 2.78298
-0.674225 -4.43957 0.00179995 2.78398
-0.673715 -4.43640 0.00180053 2.78498
-0.673205 -4.43323 0.00180110 2.78598
-0.672694 -4.43007 0.00180168 2.78698
-0.672183 -4.42690 0.00180227 2.78798
-0.671672 -4.42373 0.00180285 2.78898
-0.671160 -4.42056 0.00180344 2.78998
-0.670647 -4.41739 0.00180403 2.79098
-0.670135 -4.41423 0.00180462 2.79198
-0.669622 -4.41106 0.00180521 2.79298
-0.669108 -4.40789 0.00180580 2.79398
-0.668594 -4.40472 0.00180640 2.79498
-0.668080 -4.40155 0.00180700 2.79598
-0.667565 -4.39838 0.00180760 2.79698
-0.667050 -4.39521 0.00180820 2.79798
-0.666534 -4.39204 0.00180881 2.79898
-0.666018 -4.38887 0.00180941 2.79998
-0.665501 -4.38570 0.00181002 2.80098
-0.664985 -4.38252 0.00181063 2.80198
-0.664467 -4.37935 0.00181124 2.80298
-0.663949 -4.37618 0.00181185 2.80398
-0.663431 -4.37301 0.00181247 2.80498
-0.662913 -4.36984 0.00181309 2.80598
